function,type,places_calls,sends_sms,provider,compliance_gate,twilio_sig_verified,severity,trigger_ui,trigger_cron,trigger_webhook,trigger_fn,trigger_external,trigger_db,last_activity,row_count_90d,dependencies_ok,disposition,migration_group,egress,log_tables
_shared/gasmaskVoice.ts,shared-lib,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,gasmask-inbound-voice + 4 gasmask callbacks,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G0-shared-transport-libs,twilio-sms,communication_logs
_shared/twilio-operator.ts,shared-lib,Y,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,"twilio-voice-webhook, twilio-sms-webhook (DB-configured inbound targets), comms-health-monitor",UNKNOWN-MAKE,none,none-90d,0,ok,GATE-NOW,G0-shared-transport-libs,twilio-sms;twilio-call,NOT-LOGGED
admin-twilio-test,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/admin/TwilioTestConsole.tsx:47,none,none,none,UNKNOWN-MAKE,none,none-90d,0,ok,KEEP-AS-IS,,twilio-sms,store_signup_tokens
ambassador-ai-call,function,Y,N,bland,NO-GATE,n/a-or-NO,P0,none,none,none,supabase/functions/comms-feature-prober/index.ts:34,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G2-bland-direct,bland,"ambassador_activity_log,communication_logs"
ambassador-approve-sms,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,none,supabase/functions/comms-feature-prober/index.ts:52,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G8-ambassador-ut-sms,twilio-sms,NOT-LOGGED
ambassador-direct-call,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/ambassador/AmbassadorCommunications.tsx:256,none,none,supabase/functions/comms-feature-prober/index.ts:33,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G3-outbound-voice-twilio,twilio-call,"ambassador_activity_log,communication_logs"
ambassador-notify,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/os/unforgettable/UTAmbassadorManagement.tsx:190;src/pages/os/unforgettable/UTAmbassadorManagement.tsx:240,none,none,supabase/functions/comms-feature-prober/index.ts:53;supabase/functions/generate-ut-ambassador-insights/index.ts:137,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G8-ambassador-ut-sms,twilio-sms,NOT-LOGGED
ambassador-sale-webhook,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,none,none,external-POST,none,UNKNOWN-MAKE,none,none-90d,-1,MISSING:ambassador_sales,GATE-LATER,G8-ambassador-ut-sms,twilio-sms,ambassador_sales
ambassador-send-sms,function,N,Y,twilio-direct,NO-GATE,n/a-or-NO,P0,src/hooks/useAmbassadorComms.ts:247,none,none,supabase/functions/comms-feature-prober/index.ts:51,UNKNOWN-MAKE,none,recent,1431,ok,GATE-NOW,G8-ambassador-ut-sms,twilio-sms,"ambassador_activity_log,communication_logs,communication_messages"
bland-agent-trigger,function,Y,N,twilio-direct,NO-GATE,n/a-or-NO,P0,src/pages/communication/dialer/CampaignWizardPage.tsx:499;src/pages/communication/dialer/CampaignDialPage.tsx:6,none,none,supabase/functions/dispatch-campaign-tick/index.ts:7;supabase/functions/dispatch-campaign-tick/index.ts:79,UNKNOWN-MAKE,none,none-90d,0,ok,GATE-LATER,G3-outbound-voice-twilio,twilio-call,NOT-LOGGED
